gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18,,
basS,78505,69.0767,69.6924,95.0007,99365,79.8826,82.4392,95.4434,100357,1092,85.5291
bax,233319,236353,308146,398703,422707,314409,402035,225716,333645,825,319448
bcp,502.55,567149,1076.82,534148,523851,338318,330.3,138872,319.03,471,481226
bcr,82.5858,89.6792,123418,183465,174.68,146001,109.65,78.4081,110054,1191,121993
bcsA,111.17,104731,75.6344,70.9933,73796,97.8512,102576,144982,130072,2619,101312
bcsB,116013,112779,101721,88.0248,101083,100001,102448,139749,139402,2340,111247
bcsC,105874,106.71,84.0536,114976,114558,120.9,131546,140831,134273,3474,117.08
bcsE,183926,176126,175.68,266309,288068,226515,217657,183899,189627,1572,211979
bcsF,132225,153344,142433,166184,179525,154449,151489,130191,78825,192,143185
bcsG,154946,150349,129903,149255,150215,143958,140.45,156667,160867,1680,148512
bcsZ,103366,109232,68098,79.83,77.6841,92142,99.5704,139.2,120114,1107,98.8041
bdcA,48.9542,58.2913,46.1127,45.3901,56.8964,63834,68.9115,103737,81.0015,714,63681
bdcR,97.7634,97.8049,88746,92.5267,127011,115969,97.6499,118698,133764,594,107.77
bdm,38.6099,49415,45.8117,463266,413.6,422548,64.8059,72.3637,68.8155,216,182137
bepA,210185,219896,319767,316536,311001,179778,215736,96.0475,159773,1464,225413
betA,77.3216,69.4917,63.2018,58384,71.0392,75.4739,94.2545,91.2062,96.3934,1671,77.4185
betB,84.0933,90.1153,98935,129629,109361,99.9542,142831,98.0249,170447,1473,113.71
betI,90.5223,73.4626,77.4125,118756,109465,92819,170493,97.0864,150526,588,108949
betT,73.5014,68.8881,64.5713,64.4728,67526,80.9517,87.9418,94.3746,96.3971,2034,77625
bfd,69.4977,83.3906,137474,80.5288,98.3021,42.0123,153457,97.0069,103945,195,96.1793
bfr,90.3753,94.1619,98.8213,3486.08,3602.4,2522.28,966839,266203,387822,477,1279.44
bglA,307289,357579,536122,361371,366012,236301,240519,148978,242762,1440,310.77
bglB,72.5616,66.5654,49.9128,43.6257,47.4191,57.8155,84.3547,116531,84826,1413,69.2902
bglF,144259,158986,208272,144905,140745,111208,142.87,145006,142612,1878,148763
