gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
bisC,16.906279950914442,16.965637753505835,16.54799402340091,6.824004050933153,16.722340607186172,16.847913740991633,16.88754192972164,17.22926946226674,17.2156941412381
borD,13.086920734266869,13.501389382468393,14.052253870430679,11.60255505223532,11.296055838078784,10.15524832236901,12.126985112961949,19.88922171381471,10.862645105631657
can,12.314928724685512,12.519277500005998,13.22677793825909,13.346278251048243,13.424783029852854,12.47713846241786,12.062808445826224,10.252689082994769,11.911493107783752
casA,6.026049751357383,6.228074067725581,5.842850642387692,5.383344869779422,5.860602823873038,6.435703593577697,6.235003233484454,6.575058142223377,6.332861860631639
chrR,16.934335888026034,16.8329394477696,17.278431308259282,17.332045292365414,17.538977008443702,17.21387314313388,17.093520728250915,16.957589540038544,17.243294872562288
clpP,17.148148840270956,17.34680803177165,17.27222881865496,17.92098664032828,17.742309436084,17.543341514395724,17.224444532294683,6.642648148389625,17.030042028382095
clpS,17.416888220881948,17.341119177507302,17.915167469929024,18.830886528380297,18.77537236665673,17.92847789373302,18.215950034855705,16.868786390508877,17.639390173249417
clpX,17.201626204182613,17.27716024322134,17.714326022955667,18.425461796270618,18.394939918892845,17.738837751528767,17.735278352435152,16.62761937666791,17.16128937384641
cmtA,6.317593504623472,6.335992319777166,5.984206525148291,5.6458745503090295,5.580320382501202,5.978520565636949,6.335883377354028,6.813396421234522,6.506068715699114
codA,17.73850133827469,17.871742838719207,18.364750241380698,18.0923132490434,17.784155554429052,17.328894021402448,18.16846646302737,17.11349800701424,18.50177499843099
copA,6.01560684141358,6.078996158148202,5.789147570508283,6.104800009243029,6.215158262915969,6.384457407292114,6.065785546564622,6.182459906388671,6.378685013680101
corA,17.664551449502845,17.574933466649004,17.866300940060377,17.588524332492483,17.43466894619146,17.268222153801645,16.984307190393885,6.60183168853459,16.626422024670212
cpdA,16.946186665974828,16.940715054694074,17.787233025788286,17.25639299490638,17.374462183544104,16.980608198858253,7.302044817770586,16.802516365121225,17.309049962515143
cptA,6.616069458579045,16.82447401616895,17.243973523208947,17.116333807098126,16.768481581152443,16.754717904562035,16.954071323516228,16.666473678415873,16.82276997444429
cpxP,18.151581467967542,17.90539288146863,8.129437583133448,18.037723891168355,17.75003959589149,17.158067234517652,18.07110617001108,16.87947556035476,17.320871046330446
cpxR,17.327640353905316,17.07155663410018,17.77765343997484,8.730402204093805,8.60810694046781,17.7879790577366,18.00785401213309,16.764405126850725,17.459023305318503
crp,11.199880882618396,11.594777124859029,12.733542885416131,12.76405466143096,12.700550256945752,12.070731444350942,11.79573123835282,9.975231789898238,11.198874716409746
cspA,17.14382163226655,16.84076563231586,17.18986315786711,16.754809228824822,16.689383800181236,17.109310357930944,17.19396804964612,17.22420898640102,17.292267703301224
csrB,10.99334178130654,11.061533208274366,11.78448353457165,13.51715264150997,13.003630343775491,12.784530565361573,12.889943093402914,11.195009180890398,12.2376222711684
cusS,6.339443853782781,6.426083567668702,6.399372783530024,6.358223932883063,6.308191567337317,6.464653565552442,6.023940602768966,6.308337209702876,6.119928824926765
